city,state,latitude,longitude,population,source_name
BELMONT,OH,39.7295,-84.13966,519,Belmont
BELMONT,WI,42.73611,-90.33429,986,Belmont
BELOIT,KS,39.45612,-98.10616,3790,Beloit
BELOIT,WI,42.50835,-89.03178,36891,Beloit
BELTON,TX,31.05601,-97.46445,20547,Belton
BELTSVILLE,MD,39.03483,-76.90747,16772,Beltsville
BELVIDERE,IL,42.26391,-88.84427,25132,Belvidere
BEMIDJI,MN,47.47356,-94.88028,14594,Bemidji
BENJAMIN,TX,33.58398,-99.79231,267,Benjamin
BENNET,NE,40.68,-96.5064,845,Bennet
BENNETT,CO,39.75887,-104.42746,2484,Bennett
BENNETTSVILLE,SC,34.61738,-79.68478,8605,Bennettsville
BENSALEM,PA,40.10455,-74.95128,60427,Bensalem
BENSENVILLE,IL,41.95503,-87.94007,18440,Bensenville
BENSON,AZ,31.96786,-110.29452,4888,Benson
BENTLEYVILLE,PA,40.11674,-80.00839,2525,Bentleyville
BENTON,AR,34.56454,-92.58683,34177,Benton
BENTON,IL,37.99672,-88.92007,7041,Benton
BENTON,KY,36.85728,-88.35031,4357,Benton
BENTON HARBOR,MI,42.11671,-86.45419,9976,Benton Harbor
BEREA,KY,37.56869,-84.29632,14882,Berea
BEREA,OH,41.36616,-81.8543,18874,Berea
BERESFORD,SD,43.08054,-96.77366,1976,Beresford
BERGEN,NY,43.08534,-77.94223,1133,Bergen
BERLIN,MA,42.3812,-71.63701,2422,Berlin
BERLIN,WI,43.96804,-88.94345,5420,Berlin
BERNALILLO,NM,35.30004,-106.55114,8843,Bernalillo
BERTHOUD,CO,40.30832,-105.08109,6031,Berthoud
BERWICK,LA,29.69465,-91.21899,4765,Berwick
BERWYN,IL,41.85059,-87.79367,56368,Berwyn
BESSEMER,AL,33.40178,-86.95444,26730,Bessemer
BESSEMER,MI,46.48134,-90.05295,1770,Bessemer
BETHANY,LA,32.37321,-94.04269,0,Bethany
BETHANY,MO,40.26833,-94.02829,3149,Bethany
BETHEL,NC,35.8071,-77.37886,1620,Bethel
BETHEL,PA,40.47454,-76.29134,499,Bethel
BETHLEHEM,GA,33.93206,-83.71378,671,Bethlehem
BETTENDORF,IA,41.52448,-90.51569,35505,Bettendorf
BEVIER,MO,39.74698,-92.56408,703,Bevier
BEVINGTON,IA,41.36055,-93.79078,62,Bevington
BIDDEFORD,ME,43.49258,-70.45338,21282,Biddeford
BIDWELL,OH,38.91869,-82.29904,0,Bidwell
BIG BEND,WI,42.8814,-88.20676,1312,Big Bend
BIG CABIN,OK,36.53787,-95.22136,262,Big Cabin
BIG LAKE,TX,31.19154,-101.46039,3315,Big Lake
BIG POOL,MD,39.62371,-78.01583,82,Big Pool
BIG RAPIDS,MI,43.69808,-85.48366,10397,Big Rapids
BIG SPRING,TX,32.2504,-101.47874,28862,Big Spring
BIG SPRINGS,NE,41.06138,-102.07435,392,Big Springs
BIG TIMBER,MT,45.83494,-109.95546,1648,Big Timber
BILLINGS,MT,45.78329,-108.50069,117116,Billings
BILLINGS,OK,36.52892,-97.44394,510,Billings
BILOXI,MS,30.39603,-88.88531,45637,Biloxi
BINGHAMTON,NY,42.09869,-75.91797,46032,Binghamton
BIRMINGHAM,AL,33.52066,-86.80249,196357,Birmingham
BISHOPVILLE,SC,34.21821,-80.24841,3274,Bishopville
BISMARCK,ND,46.80833,-100.78374,75092,Bismarck
BLACK EARTH,WI,43.13722,-89.74679,1403,Black Earth
BLACK RIVER FALLS,WI,44.29468,-90.85153,3564,Black River Falls
BLACK ROCK,AR,36.1084,-91.09735,625,Black Rock
BLACKFOOT,ID,43.19047,-112.34498,11740,Blackfoot
BLACKSBURG,SC,35.12124,-81.51592,1883,Blacksburg
BLACKSHEAR,GA,31.30605,-82.24207,3581,Blackshear
BLACKWELL,OK,36.80448,-97.28282,6875,Blackwell
BLADENBORO,NC,34.53878,-78.78752,1726,Bladenboro
BLADENSBURG,MD,38.93928,-76.93386,9640,Bladensburg
BLAINE,WA,48.99372,-122.74712,5056,Blaine
BLAIR,WI,44.2944,-91.23516,1351,Blair
BLAIRS,VA,36.67986,-79.37308,916,Blairs
BLAIRSVILLE,PA,40.43118,-79.26087,3321,Blairsville
BLAKESLEE,PA,41.09259,-75.59269,0,Blakeslee
BLANCO,TX,30.09799,-98.42141,1889,Blanco
BLAND,VA,37.10206,-81.1162,409,Bland
BLANDFORD,MA,42.18065,-72.92732,393,Blandford
BLISS,ID,42.92685,-114.94951,305,Bliss
BLOOMER,WI,45.10024,-91.48877,3520,Bloomer
BLOOMFIELD,IN,39.02699,-86.93751,2336,Bloomfield
BLOOMINGDALE,GA,32.13242,-81.299,2764,Bloomingdale
BLOOMINGDALE,IL,41.95753,-88.0809,22254,Bloomingdale
BLOOMINGTON,IL,40.4842,-88.99369,78292,Bloomington
BLOOMINGTON,IN,39.16533,-86.52639,84067,Bloomington
BLOOMSBURG,PA,41.0037,-76.45495,14585,Bloomsburg
BLOOMSBURY,NJ,40.65399,-75.08656,848,Bloomsbury
BLOOMSDALE,MO,38.0095,-90.2179,529,Bloomsdale
BLOSSBURG,PA,41.67952,-77.06386,1516,Blossburg
BLOUNTSTOWN,FL,30.44379,-85.04744,2497,Blountstown
BLUE EARTH,MN,43.63746,-94.10218,3236,Blue Earth
BLUFFTON,IN,40.73866,-85.17164,10005,Bluffton
BLUNT,SD,44.5122,-99.99207,359,Blunt
BLYTHE,GA,33.29264,-82.20151,701,Blythe
BLYTHEVILLE,AR,35.9273,-89.91898,14694,Blytheville
BLYTHEWOOD,SC,34.21432,-80.97398,2782,Blythewood
BOARDMAN,OR,45.83986,-119.70058,3354,Boardman
BOAZ,AL,34.20065,-86.16637,9688,Boaz
BOGATA,TX,33.47067,-95.21384,1111,Bogata
BOISE,ID,43.6135,-116.20345,235684,Boise
BOISE CITY,OK,36.72947,-102.51324,1127,Boise City
BOLES,AR,34.77955,-94.0491,0,Boles
BOLINGBROOK,IL,41.69864,-88.0684,74306,Bolingbrook
BOLIVAR,MO,37.61448,-93.41047,10714,Bolivar
BONDUEL,WI,44.74027,-88.44482,1456,Bonduel
BONDURANT,IA,41.70054,-93.46216,4996,Bondurant
BONITA SPRINGS,FL,26.33981,-81.7787,51704,Bonita Springs
BONNERS FERRY,ID,48.69133,-116.31631,2549,Bonners Ferry
BOONVILLE,MO,38.97364,-92.74324,8403,Boonville
BORDENTOWN,NJ,40.14622,-74.71183,3882,Bordentown
BORGER,TX,35.66782,-101.39739,12964,Borger
BOSCOBEL,WI,43.13443,-90.7054,3189,Boscobel
BOSSIER CITY,LA,32.51599,-93.73212,68094,Bossier City
BOULDER,MT,46.23659,-112.12083,1207,Boulder
BOUND BROOK,NJ,40.56844,-74.53849,10497,Bound Brook
BOURBON,IN,41.2956,-86.11639,1781,Bourbon
BOURBONNAIS,IL,41.15376,-87.88754,18569,Bourbonnais
BOW,NH,43.13203,-71.54924,0,Bow
BOWIE,AZ,32.32647,-109.48701,449,Bowie
BOWIE,TX,33.559,-97.84865,5126,Bowie
BOWLING GREEN,KY,36.99032,-86.4436,63616,Bowling Green
BOWLING GREEN,MO,39.34199,-91.19514,5388,Bowling Green
BOWMAN,ND,46.18306,-103.39491,1744,Bowman
BOWMAN,SC,33.34877,-80.68287,934,Bowman
BOWMANSVILLE,PA,40.19676,-76.01744,2077,Bowmansville
BOX ELDER,SD,44.11249,-103.06823,9289,Box Elder
BOYCE,LA,31.39046,-92.66931,979,Boyce
BOYLSTON,MA,42.39176,-71.70368,4078,Boylston
BOYNTON BEACH,FL,26.52535,-80.06643,73966,Boynton Beach
BRACEY,VA,36.59959,-78.14305,1554,Bracey
BRADENTON,FL,27.49893,-82.57482,54437,Bradenton
BRADNER,OH,41.32422,-83.43854,1019,Bradner
BRADY,TX,31.13517,-99.33506,5549,Brady
BRAINERD,MN,46.35802,-94.20083,13371,Brainerd
BRAMAN,OK,36.92364,-97.33366,212,Braman
BRANCHVILLE,SC,33.25127,-80.81565,989,Branchville
BRANDON,SD,43.5947,-96.57199,9856,Brandon
BRANDYWINE,MD,38.69678,-76.84775,6719,Brandywine
BRANFORD,CT,41.27954,-72.8151,29438,Branford
BRANFORD,FL,29.95912,-82.92818,721,Branford
BRASELTON,GA,34.10927,-83.76267,9476,Braselton
BRATTLEBORO,VT,42.85092,-72.55787,7414,Brattleboro
BRAWLEY,CA,32.97866,-115.53027,25897,Brawley
BRAZIL,IN,39.52365,-87.12502,8109,Brazil
BREAUX BRIDGE,LA,30.27353,-91.89928,8395,Breaux Bridge
BRECKENRIDGE,TX,32.75568,-98.90229,5590,Breckenridge
BREEZEWOOD,PA,39.99925,-78.23862,0,Breezewood
BREMEN,GA,33.72122,-85.1455,6355,Bremen
BRENHAM,TX,30.16688,-96.39774,16579,Brenham
BRENT,AL,32.93735,-87.16472,4898,Brent
BREWERTON,NY,43.23812,-76.14076,4029,Brewerton
BREWTON,AL,31.10518,-87.07219,5434,Brewton
BRIDGEPORT,CT,41.17923,-73.18945,147629,Bridgeport
BRIDGEPORT,MI,43.35947,-83.88164,6950,Bridgeport
BRIDGEPORT,TX,33.21012,-97.75476,6381,Bridgeport
BRIDGETON,MO,38.767,-90.41151,11786,Bridgeton
BRIDGEVIEW,IL,41.75003,-87.80422,16407,Bridgeview
BRIDGEVILLE,DE,38.74261,-75.60437,2256,Bridgeville
BRIDGEWATER,MA,41.99038,-70.97504,7841,Bridgewater
BRIDGMAN,MI,41.9431,-86.55697,2258,Bridgman
BRIGHAM CITY,UT,41.51021,-112.0155,18752,Brigham City
BRIGHTON,CO,39.98526,-104.82053,37585,Brighton
BRIGHTON,IL,39.03977,-90.14066,2198,Brighton
BRILLION,WI,44.17721,-88.06427,3142,Brillion
BRINKLEY,AR,34.88787,-91.19457,2890,Brinkley
BRISTOL,IN,41.72144,-85.81749,1667,Bristol
BRISTOL,TN,36.59511,-82.18874,26666,Bristol
BRISTOL,VA,36.59649,-82.18847,17141,Bristol
BRISTOL,WI,42.55891,-88.04925,4951,Bristol
BROADVIEW HEIGHTS,OH,41.31394,-81.68513,19229,Broadview Heights
BROADWAY,VA,38.61317,-78.79891,3807,Broadway
BRODHEAD,WI,42.61834,-89.37623,3291,Brodhead
BROGUE,PA,39.87177,-76.48302,0,Brogue
BROKEN ARROW,OK,36.0526,-95.79082,106563,Broken Arrow
BROKEN BOW,NE,41.40195,-99.63928,3551,Broken Bow
BROKEN BOW,OK,34.02928,-94.7391,4131,Broken Bow
BRONTE,TX,31.88737,-100.29176,972,Bronte
BRONX,NY,40.84985,-73.86641,1385108,The Bronx
BROOKFIELD,MO,39.78447,-93.07353,4358,Brookfield
BROOKHAVEN,MS,31.57906,-90.44065,12414,Brookhaven
BROOKINGS,SD,44.31136,-96.79839,23657,Brookings
BROOKLYN,IA,41.73361,-92.44546,1420,Brooklyn
BROOKSVILLE,FL,28.55554,-82.38991,7854,Brooksville
BROOKVILLE,OH,39.83672,-84.41134,5900,Brookville
BROOKVILLE,PA,41.16117,-79.08309,3868,Brookville
BROUSSARD,LA,30.14715,-91.96123,11303,Broussard
BROWNFIELD,TX,33.1812,-102.27435,9736,Brownfield
BROWNSVILLE,TX,25.90175,-97.49748,186738,Brownsville
BROWNSVILLE,WI,43.61638,-88.49066,582,Brownsville
BROWNVILLE,ME,45.307,-69.03337,1309,Brownville
BROWNWOOD,TX,31.70932,-98.99116,19031,Brownwood
BRUCETON MILLS,WV,39.65869,-79.64116,87,Bruceton Mills
BRUNDIDGE,AL,31.72016,-85.81606,1989,Brundidge
BRUNSWICK,GA,31.15013,-81.49147,16157,Brunswick
BRUSH,CO,40.25887,-103.62384,5459,Brush
BRYAN,TX,30.67436,-96.36996,82118,Bryan
BRYANT,AR,34.59593,-92.48905,19986,Bryant
BUCKATUNNA,MS,31.53905,-88.52892,516,Buckatunna
BUCKEYE,AZ,33.37032,-112.58378,50876,Buckeye
BUCKHANNON,WV,38.99399,-80.23203,5657,Buckhannon
BUCYRUS,OH,40.80839,-82.97546,11916,Bucyrus
BUDA,TX,30.08521,-97.84028,13705,Buda
BUDD LAKE,NJ,40.87121,-74.73405,8968,Budd Lake
BUENA VISTA,GA,32.31904,-84.51714,2206,Buena Vista
BUFFALO,MN,45.17191,-93.87469,16026,Buffalo
BUFFALO,NY,42.88645,-78.87837,258071,Buffalo
BUFFALO,TX,31.46379,-96.05802,1887,Buffalo
BUFFALO,WY,44.34831,-106.69894,4632,Buffalo
BULLS GAP,TN,36.25704,-83.086,724,Bulls Gap
BUNA,TX,30.43298,-93.9624,2142,Buna
BUNKER HILL,KS,38.87584,-98.70397,97,Bunker Hill
BUNKIE,LA,30.95325,-92.18263,4066,Bunkie
BURBANK,IL,41.73392,-87.7795,29128,Burbank
BURBANK,OH,40.98867,-81.99487,208,Burbank
BURBANK,SD,42.74528,-96.82921,0,Burbank
BURGAW,NC,34.55211,-77.9261,4100,Burgaw
BURLINGTON,CO,39.30611,-102.26936,3720,Burlington
BURLINGTON,NJ,40.07122,-74.86489,9808,Burlington
BURLINGTON,WI,42.67807,-88.2762,10650,Burlington
BURNET,TX,30.75824,-98.22836,6239,Burnet
BURNS,WY,41.19276,-104.35912,304,Burns
BURTON,MI,42.99947,-83.61634,28788,Burton
BURWELL,NE,41.78167,-99.13315,1211,Burwell
BUSHNELL,FL,28.66499,-82.11286,2995,Bushnell
BUTLER,IN,41.42977,-84.87135,2701,Butler
BUTLER,WI,43.10584,-88.06953,1825,Butler
BUTTE,MT,46.00382,-112.53474,34190,Butte
BYHALIA,MS,34.87232,-89.69064,1255,Byhalia
BYRAM,MS,32.17932,-90.24537,11509,Byram
BYRON,GA,32.65376,-83.75963,5105,Byron
BYRON,MN,44.03274,-92.64546,5328,Byron
BYRON CENTER,MI,42.81225,-85.72281,5822,Byron Center
CABOOL,MO,37.12394,-92.10127,2130,Cabool
CABOT,AR,34.97453,-92.01653,25587,Cabot
CADDO MILLS,TX,33.06567,-96.22776,1470,Caddo Mills
CADILLAC,MI,44.25195,-85.40116,10373,Cadillac
CADOTT,WI,44.94802,-91.1507,1426,Cadott
CAIRO,GA,30.87751,-84.20214,9752,Cairo
CAIRO,NE,41.00112,-98.60757,807,Cairo
